test,question,expected_answer,source_doc,category,difficulty
"Q1: Product Version?","What is the current version of the B-Knowledge platform?","Version 2.5 released in Q4 2024","README.md#version","factual","easy"
"Q2: Installation Steps?","How do I install B-Knowledge on a local machine?","1. Clone repository 2. Install dependencies with npm install 3. Run npm start 4. Access on localhost:3000","docs/installation.md","process","easy"
"Q3: API Authentication?","What authentication method is used for the B-Knowledge API?","Token-based authentication with Bearer tokens in Authorization header","docs/api.md#authentication","technical","medium"
"Q4: Troubleshoot Connection Error?","What should I do if I get a 'connection refused' error?","Check if the service is running on the configured port, verify firewall settings, ensure correct API_URL in .env","docs/troubleshoot.md#connection-refused","troubleshoot","medium"
"Q5: RAG vs Traditional Search?","What is the difference between RAG search and traditional keyword search?","RAG uses AI to understand semantic meaning and context, returning more relevant results. Traditional search matches keywords only.","docs/search-comparison.md","comparison","hard"
"Q6: Configure API Token?","How do I configure API tokens for authentication?","Set BKNOWLEDGE_API_TOKEN in .env file or pass Authorization header with Bearer token value","docs/configuration.md#api-token","process","easy"
"Q7: Database Requirements?","What database systems does B-Knowledge support?","Supports PostgreSQL 12+, MongoDB 4.4+, and SQLite for development","docs/requirements.md#database","technical","medium"
"Q8: Docker Deployment?","What are the steps to deploy B-Knowledge using Docker?","1. Build image: docker build -t b-knowledge . 2. Run: docker run -p 3000:3000 b-knowledge 3. Access: http://localhost:3000","docs/deployment.md#docker","process","medium"
"Q9: Memory Limit Error?","How do I resolve 'Out of Memory' errors during RAG processing?","Increase Node.js memory limit with NODE_OPTIONS=--max-old-space-size=4096, or process documents in smaller batches","docs/troubleshoot.md#memory-error","troubleshoot","hard"
"Q10: Custom Metrics?","Can I define custom evaluation metrics?","Yes, create custom metric provider in metrics/ directory following the standard interface","docs/evaluation.md#custom-metrics","technical","hard"
"Q11: Environment Variables?","What are the required environment variables?","BKNOWLEDGE_API_URL, BKNOWLEDGE_CHAT_TOKEN, BKNOWLEDGE_SEARCH_TOKEN are required. Others are optional.","docs/configuration.md#env-variables","factual","easy"
"Q12: Performance Optimization?","How can I optimize RAG search performance?","Enable caching, use batch processing, index documents, implement pagination, tune model parameters","docs/performance.md","process","hard"
"Q13: SSE for Real-time?","How does B-Knowledge handle real-time streaming responses?","Uses Server-Sent Events (SSE) for streaming LLM responses without waiting for full completion","docs/streaming.md","technical","medium"
"Q14: Batch Processing?","How do I process multiple documents in batch?","Use the batch API endpoint with array of documents, configure batch size, and monitor progress via webhooks","docs/batch-processing.md","process","medium"
"Q15: Evaluation Metrics Explained?","What evaluation metrics are available in RAG evaluation?","Accuracy (exact match), Precision (correct in top results), Recall (coverage), F1 (balance), semantic similarity (BLEU)","docs/evaluation-metrics.md","comparison","hard"
"Q16: Integration with LLM?","Which LLM providers are supported?","OpenAI GPT-4, GPT-3.5, Anthropic Claude, open-source models via Ollama","docs/llm-integration.md","factual","easy"
"Q17: Security Best Practices?","What security measures should I implement?","Use HTTPS, implement rate limiting, validate inputs, rotate tokens regularly, use VPN for sensitive endpoints","docs/security.md","process","hard"
"Q18: Document Indexing?","How are documents indexed for RAG?","Documents are split into chunks, converted to embeddings using semantic models, stored in vector database","docs/indexing.md","process","medium"
"Q19: Error Logging?","Where are application errors logged?","Errors logged to logs/app.log and logs/error.log with rotation every 24h or 100MB","docs/logging.md#error-logging","technical","easy"
"Q20: Scale to Production?","What considerations are needed for production deployment?","Use load balancer, implement horizontal scaling with Kubernetes, setup monitoring with Prometheus, use CDN for static assets","docs/scaling.md","process","hard"
